"Reference Area","Time Period","Sex","Age group","Unit of measurement","Nature","Value"
"Northern Africa (M49)","2006","Female","15+","Percent","Modeled","20.04"
"Northern Africa (M49)","2006","Female","25+","Percent","Modeled","12.49"
"Northern Africa (M49)","2006","Male","15 - 24","Percent","Modeled","21.11"
"Northern Africa (M49)","2006","Male","15+","Percent","Modeled","9.14"
"Northern Africa (M49)","2006","Male","25+","Percent","Modeled","5.88"
"Northern Africa (M49)","2006","Total","15 - 24","Percent","Modeled","26.36"
"Northern Africa (M49)","2006","Total","15+","Percent","Modeled","11.62"
"Northern Africa (M49)","2006","Total","25+","Percent","Modeled","7.3"
"Northern Africa (M49)","2005","Female","15 - 24","Percent","Modeled","43.84"
"Northern Africa (M49)","2005","Female","15+","Percent","Modeled","21.67"
"Northern Africa (M49)","2005","Female","25+","Percent","Modeled","12.78"
"Northern Africa (M49)","2005","Male","15 - 24","Percent","Modeled","22.53"
"Northern Africa (M49)","2005","Male","15+","Percent","Modeled","10.06"
"Northern Africa (M49)","2005","Male","25+","Percent","Modeled","6.37"
"Northern Africa (M49)","2005","Total","15 - 24","Percent","Modeled","28.22"
"Northern Africa (M49)","2005","Total","15+","Percent","Modeled","12.67"
"Northern Africa (M49)","2005","Total","25+","Percent","Modeled","7.72"
"Northern Africa (M49)","2004","Female","15 - 24","Percent","Modeled","39.03"
"Northern Africa (M49)","2004","Female","15+","Percent","Modeled","21.58"
"Northern Africa (M49)","2004","Female","25+","Percent","Modeled","14.2"
"Northern Africa (M49)","2004","Male","15 - 24","Percent","Modeled","22.75"
"Northern Africa (M49)","2004","Male","15+","Percent","Modeled","10.23"
"Northern Africa (M49)","2004","Male","25+","Percent","Modeled","6.57"
"Northern Africa (M49)","2004","Total","15 - 24","Percent","Modeled","27.22"
"Northern Africa (M49)","2004","Total","15+","Percent","Modeled","12.77"
"Northern Africa (M49)","2004","Total","25+","Percent","Modeled","8.15"
"Northern Africa (M49)","2003","Female","15 - 24","Percent","Modeled","40.34"
"Northern Africa (M49)","2003","Female","15+","Percent","Modeled","24.36"
"Northern Africa (M49)","2003","Female","25+","Percent","Modeled","17.36"
"Northern Africa (M49)","2003","Male","15 - 24","Percent","Modeled","25.26"
"Northern Africa (M49)","2003","Male","15+","Percent","Modeled","11.52"
"Northern Africa (M49)","2003","Male","25+","Percent","Modeled","7.57"
"Northern Africa (M49)","2003","Total","15 - 24","Percent","Modeled","29.47"
"Northern Africa (M49)","2003","Total","15+","Percent","Modeled","14.36"
"Northern Africa (M49)","2003","Total","25+","Percent","Modeled","9.55"
"Northern Africa (M49)","2002","Female","15 - 24","Percent","Modeled","38.06"
"Northern Africa (M49)","2002","Female","15+","Percent","Modeled","24.33"
"Northern Africa (M49)","2002","Female","25+","Percent","Modeled","18.13"
"Northern Africa (M49)","2002","Male","15 - 24","Percent","Modeled","25.48"
"Northern Africa (M49)","2002","Male","15+","Percent","Modeled","11.64"
"Northern Africa (M49)","2002","Male","25+","Percent","Modeled","7.73"
"Northern Africa (M49)","2002","Total","15 - 24","Percent","Modeled","29.01"
"Northern Africa (M49)","2002","Total","15+","Percent","Modeled","14.39"
"Northern Africa (M49)","2002","Total","25+","Percent","Modeled","9.78"
"Northern Africa (M49)","2001","Female","15 - 24","Percent","Modeled","42.2"
"Northern Africa (M49)","2001","Female","15+","Percent","Modeled","23.83"
"Northern Africa (M49)","2001","Female","25+","Percent","Modeled","16.58"
"Northern Africa (M49)","2001","Male","15 - 24","Percent","Modeled","25.51"
"Northern Africa (M49)","2001","Male","15+","Percent","Modeled","11.84"
"Northern Africa (M49)","2001","Male","25+","Percent","Modeled","7.96"
"Northern Africa (M49)","2001","Total","15 - 24","Percent","Modeled","29.96"
"Northern Africa (M49)","2001","Total","15+","Percent","Modeled","14.49"
"Northern Africa (M49)","2001","Total","25+","Percent","Modeled","9.75"
"Northern Africa (M49)","2000","Female","15 - 24","Percent","Modeled","40"
"Northern Africa (M49)","2000","Female","15+","Percent","Modeled","24.03"
"Northern Africa (M49)","2000","Female","25+","Percent","Modeled","16.94"
"Northern Africa (M49)","2000","Male","15 - 24","Percent","Modeled","26.09"
"Northern Africa (M49)","2000","Male","15+","Percent","Modeled","12.5"
"Northern Africa (M49)","2000","Male","25+","Percent","Modeled","8.47"
"Northern Africa (M49)","2000","Total","15 - 24","Percent","Modeled","29.98"
"Northern Africa (M49)","2000","Total","15+","Percent","Modeled","15.08"
"Northern Africa (M49)","2000","Total","25+","Percent","Modeled","10.21"
"Northern Africa, exc. Sudan (MDG)","2016","Female","15 - 24","Percent","Modeled","40.54"
"Northern Africa, exc. Sudan (MDG)","2016","Female","15+","Percent","Modeled","20.13"
"Northern Africa, exc. Sudan (MDG)","2016","Female","25+","Percent","Modeled","15.89"
"Northern Africa, exc. Sudan (MDG)","2016","Male","15 - 24","Percent","Modeled","26.62"
"Northern Africa, exc. Sudan (MDG)","2016","Male","15+","Percent","Modeled","9.37"
"Northern Africa, exc. Sudan (MDG)","2016","Male","25+","Percent","Modeled","6.13"
"Northern Africa, exc. Sudan (MDG)","2016","Total","15 - 24","Percent","Modeled","30.08"
"Northern Africa, exc. Sudan (MDG)","2016","Total","15+","Percent","Modeled","11.88"
"Northern Africa, exc. Sudan (MDG)","2016","Total","25+","Percent","Modeled","8.38"
"Northern Africa, exc. Sudan (MDG)","2015","Female","15 - 24","Percent","Modeled","38.16"
"Northern Africa, exc. Sudan (MDG)","2015","Female","15+","Percent","Modeled","20.21"
"Northern Africa, exc. Sudan (MDG)","2015","Female","25+","Percent","Modeled","16.34"
"Northern Africa, exc. Sudan (MDG)","2015","Male","15 - 24","Percent","Modeled","27.66"
"Northern Africa, exc. Sudan (MDG)","2015","Male","15+","Percent","Modeled","9.79"
"Northern Africa, exc. Sudan (MDG)","2015","Male","25+","Percent","Modeled","6.31"
"Northern Africa, exc. Sudan (MDG)","2015","Total","15 - 24","Percent","Modeled","30.27"
"Northern Africa, exc. Sudan (MDG)","2015","Total","15+","Percent","Modeled","12.22"
"Northern Africa, exc. Sudan (MDG)","2015","Total","25+","Percent","Modeled","8.62"
"Northern Africa, exc. Sudan (MDG)","2014","Female","15 - 24","Percent","Modeled","43.81"
"Northern Africa, exc. Sudan (MDG)","2014","Female","15+","Percent","Modeled","20.11"
"Northern Africa, exc. Sudan (MDG)","2014","Female","25+","Percent","Modeled","14.81"
"Northern Africa, exc. Sudan (MDG)","2014","Male","15 - 24","Percent","Modeled","28.8"
"Northern Africa, exc. Sudan (MDG)","2014","Male","15+","Percent","Modeled","10.05"
"Northern Africa, exc. Sudan (MDG)","2014","Male","25+","Percent","Modeled","6.27"
"Northern Africa, exc. Sudan (MDG)","2014","Total","15 - 24","Percent","Modeled","32.52"
"Northern Africa, exc. Sudan (MDG)","2014","Total","15+","Percent","Modeled","12.38"
"Northern Africa, exc. Sudan (MDG)","2014","Total","25+","Percent","Modeled","8.22"
"Northern Africa, exc. Sudan (MDG)","2013","Female","15 - 24","Percent","Modeled","43.81"
"Northern Africa, exc. Sudan (MDG)","2013","Female","15+","Percent","Modeled","20.12"
"Northern Africa, exc. Sudan (MDG)","2013","Female","25+","Percent","Modeled","14.58"
"Northern Africa, exc. Sudan (MDG)","2013","Male","15 - 24","Percent","Modeled","26.42"
"Northern Africa, exc. Sudan (MDG)","2013","Male","15+","Percent","Modeled","9.7"
"Northern Africa, exc. Sudan (MDG)","2013","Male","25+","Percent","Modeled","6.19"
"Northern Africa, exc. Sudan (MDG)","2013","Total","15 - 24","Percent","Modeled","30.77"
"Northern Africa, exc. Sudan (MDG)","2013","Total","15+","Percent","Modeled","12.13"
"Northern Africa, exc. Sudan (MDG)","2013","Total","25+","Percent","Modeled","8.12"
"Northern Africa, exc. Sudan (MDG)","2012","Female","15 - 24","Percent","Modeled","46.03"
"Northern Africa, exc. Sudan (MDG)","2012","Female","15+","Percent","Modeled","20.4"
"Northern Africa, exc. Sudan (MDG)","2012","Female","25+","Percent","Modeled","14.31"
"Northern Africa, exc. Sudan (MDG)","2012","Male","15 - 24","Percent","Modeled","26.52"
"Northern Africa, exc. Sudan (MDG)","2012","Male","15+","Percent","Modeled","9.72"
"Northern Africa, exc. Sudan (MDG)","2012","Male","25+","Percent","Modeled","6.08"
"Northern Africa, exc. Sudan (MDG)","2012","Total","15 - 24","Percent","Modeled","31.29"
"Northern Africa, exc. Sudan (MDG)","2012","Total","15+","Percent","Modeled","12.18"
"Northern Africa, exc. Sudan (MDG)","2012","Total","25+","Percent","Modeled","7.95"
"Northern Africa, exc. Sudan (MDG)","2011","Female","15 - 24","Percent","Modeled","43.12"
"Northern Africa, exc. Sudan (MDG)","2011","Female","15+","Percent","Modeled","19.74"
"Northern Africa, exc. Sudan (MDG)","2011","Female","25+","Percent","Modeled","13.84"
"Northern Africa, exc. Sudan (MDG)","2011","Male","15 - 24","Percent","Modeled","22.35"
"Northern Africa, exc. Sudan (MDG)","2011","Male","15+","Percent","Modeled","9.2"
"Northern Africa, exc. Sudan (MDG)","2011","Male","25+","Percent","Modeled","6.22"
"Northern Africa, exc. Sudan (MDG)","2011","Total","15 - 24","Percent","Modeled","27.42"
"Northern Africa, exc. Sudan (MDG)","2011","Total","15+","Percent","Modeled","11.6"
"Northern Africa, exc. Sudan (MDG)","2011","Total","25+","Percent","Modeled","7.93"
"Northern Africa, exc. Sudan (MDG)","2010","Female","15 - 24","Percent","Modeled","42.93"
"Northern Africa, exc. Sudan (MDG)","2010","Female","15+","Percent","Modeled","19.16"
"Northern Africa, exc. Sudan (MDG)","2010","Female","25+","Percent","Modeled","12.49"
"Northern Africa, exc. Sudan (MDG)","2010","Male","15 - 24","Percent","Modeled","17.64"
"Northern Africa, exc. Sudan (MDG)","2010","Male","15+","Percent","Modeled","7.09"
"Northern Africa, exc. Sudan (MDG)","2010","Male","25+","Percent","Modeled","4.55"
"Northern Africa, exc. Sudan (MDG)","2010","Total","15 - 24","Percent","Modeled","24"
"Northern Africa, exc. Sudan (MDG)","2010","Total","15+","Percent","Modeled","9.87"
"Northern Africa, exc. Sudan (MDG)","2010","Total","25+","Percent","Modeled","6.33"
"Northern Africa, exc. Sudan (MDG)","2009","Female","15 - 24","Percent","Modeled","44.14"
"Northern Africa, exc. Sudan (MDG)","2009","Female","15+","Percent","Modeled","19.65"
"Northern Africa, exc. Sudan (MDG)","2009","Female","25+","Percent","Modeled","12.16"
"Northern Africa, exc. Sudan (MDG)","2009","Male","15 - 24","Percent","Modeled","18.4"
"Northern Africa, exc. Sudan (MDG)","2009","Male","15+","Percent","Modeled","7.27"
"Northern Africa, exc. Sudan (MDG)","2009","Male","25+","Percent","Modeled","4.49"
"Northern Africa, exc. Sudan (MDG)","2009","Total","15 - 24","Percent","Modeled","25.09"
"Northern Africa, exc. Sudan (MDG)","2009","Total","15+","Percent","Modeled","10.13"
"Northern Africa, exc. Sudan (MDG)","2009","Total","25+","Percent","Modeled","6.2"
"Northern Africa, exc. Sudan (MDG)","2008","Female","15 - 24","Percent","Modeled","40.78"
"Northern Africa, exc. Sudan (MDG)","2008","Female","15+","Percent","Modeled","18.14"
"Northern Africa, exc. Sudan (MDG)","2008","Female","25+","Percent","Modeled","11.03"
"Northern Africa, exc. Sudan (MDG)","2008","Male","15 - 24","Percent","Modeled","19.2"
"Northern Africa, exc. Sudan (MDG)","2008","Male","15+","Percent","Modeled","7.65"
"Northern Africa, exc. Sudan (MDG)","2008","Male","25+","Percent","Modeled","4.65"
"Northern Africa, exc. Sudan (MDG)","2008","Total","15 - 24","Percent","Modeled","24.8"
"Northern Africa, exc. Sudan (MDG)","2008","Total","15+","Percent","Modeled","10.08"
"Northern Africa, exc. Sudan (MDG)","2008","Total","25+","Percent","Modeled","6.08"
"Northern Africa, exc. Sudan (MDG)","2007","Female","15 - 24","Percent","Modeled","39.61"
"Northern Africa, exc. Sudan (MDG)","2007","Female","15+","Percent","Modeled","17.86"
"Northern Africa, exc. Sudan (MDG)","2007","Female","25+","Percent","Modeled","10.96"
"Northern Africa, exc. Sudan (MDG)","2007","Male","15 - 24","Percent","Modeled","20.55"
"Northern Africa, exc. Sudan (MDG)","2007","Male","15+","Percent","Modeled","8.5"
"Northern Africa, exc. Sudan (MDG)","2007","Male","25+","Percent","Modeled","5.3"
"Northern Africa, exc. Sudan (MDG)","2007","Total","15 - 24","Percent","Modeled","25.45"
"Northern Africa, exc. Sudan (MDG)","2007","Total","15+","Percent","Modeled","10.68"
"Northern Africa, exc. Sudan (MDG)","2007","Total","25+","Percent","Modeled","6.57"
"Northern Africa, exc. Sudan (MDG)","2006","Female","15 - 24","Percent","Modeled","42.59"
"Northern Africa, exc. Sudan (MDG)","2006","Female","15+","Percent","Modeled","19.99"
"Northern Africa, exc. Sudan (MDG)","2006","Female","25+","Percent","Modeled","11.68"
"Northern Africa, exc. Sudan (MDG)","2006","Male","15 - 24","Percent","Modeled","21.35"
"Northern Africa, exc. Sudan (MDG)","2006","Male","15+","Percent","Modeled","8.63"
"Northern Africa, exc. Sudan (MDG)","2006","Male","25+","Percent","Modeled","5.14"
"Northern Africa, exc. Sudan (MDG)","2006","Total","15 - 24","Percent","Modeled","26.97"
"Northern Africa, exc. Sudan (MDG)","2006","Total","15+","Percent","Modeled","11.17"
"Northern Africa, exc. Sudan (MDG)","2006","Total","25+","Percent","Modeled","6.53"
"Northern Africa, exc. Sudan (MDG)","2005","Female","15 - 24","Percent","Modeled","46.39"
"Northern Africa, exc. Sudan (MDG)","2005","Female","15+","Percent","Modeled","21.93"
"Northern Africa, exc. Sudan (MDG)","2005","Female","25+","Percent","Modeled","11.99"
"Northern Africa, exc. Sudan (MDG)","2005","Male","15 - 24","Percent","Modeled","23"
"Northern Africa, exc. Sudan (MDG)","2005","Male","15+","Percent","Modeled","9.73"
"Northern Africa, exc. Sudan (MDG)","2005","Male","25+","Percent","Modeled","5.74"
"Northern Africa, exc. Sudan (MDG)","2005","Total","15 - 24","Percent","Modeled","29.11"
"Northern Africa, exc. Sudan (MDG)","2005","Total","15+","Percent","Modeled","12.42"
"Northern Africa, exc. Sudan (MDG)","2005","Total","25+","Percent","Modeled","7.04"
"Northern Africa, exc. Sudan (MDG)","2004","Female","15 - 24","Percent","Modeled","40.66"
"Northern Africa, exc. Sudan (MDG)","2004","Female","15+","Percent","Modeled","21.81"
"Northern Africa, exc. Sudan (MDG)","2004","Female","25+","Percent","Modeled","13.69"
"Northern Africa, exc. Sudan (MDG)","2004","Male","15 - 24","Percent","Modeled","23.24"
"Northern Africa, exc. Sudan (MDG)","2004","Male","15+","Percent","Modeled","9.91"
"Northern Africa, exc. Sudan (MDG)","2004","Male","25+","Percent","Modeled","5.96"
"Northern Africa, exc. Sudan (MDG)","2004","Total","15 - 24","Percent","Modeled","27.93"
"Northern Africa, exc. Sudan (MDG)","2004","Total","15+","Percent","Modeled","12.51"
"Northern Africa, exc. Sudan (MDG)","2004","Total","25+","Percent","Modeled","7.53"
"Northern Africa, exc. Sudan (MDG)","2003","Female","15 - 24","Percent","Modeled","42.31"
"Northern Africa, exc. Sudan (MDG)","2003","Female","15+","Percent","Modeled","25.18"
"Northern Africa, exc. Sudan (MDG)","2003","Female","25+","Percent","Modeled","17.53"
"Northern Africa, exc. Sudan (MDG)","2003","Male","15 - 24","Percent","Modeled","26.16"
"Northern Africa, exc. Sudan (MDG)","2003","Male","15+","Percent","Modeled","11.41"
"Northern Africa, exc. Sudan (MDG)","2003","Male","25+","Percent","Modeled","7.13"
"Northern Africa, exc. Sudan (MDG)","2003","Total","15 - 24","Percent","Modeled","30.56"
"Northern Africa, exc. Sudan (MDG)","2003","Total","15+","Percent","Modeled","14.37"
"Northern Africa, exc. Sudan (MDG)","2003","Total","25+","Percent","Modeled","9.17"
"Northern Africa, exc. Sudan (MDG)","2002","Female","15 - 24","Percent","Modeled","39.68"
"Northern Africa, exc. Sudan (MDG)","2002","Female","15+","Percent","Modeled","25.16"
"Northern Africa, exc. Sudan (MDG)","2002","Female","25+","Percent","Modeled","18.49"
"Northern Africa, exc. Sudan (MDG)","2002","Male","15 - 24","Percent","Modeled","26.45"
"Northern Africa, exc. Sudan (MDG)","2002","Male","15+","Percent","Modeled","11.56"
"Northern Africa, exc. Sudan (MDG)","2002","Male","25+","Percent","Modeled","7.33"
"Northern Africa, exc. Sudan (MDG)","2002","Total","15 - 24","Percent","Modeled","30.07"
"Northern Africa, exc. Sudan (MDG)","2002","Total","15+","Percent","Modeled","14.4"
"Northern Africa, exc. Sudan (MDG)","2002","Total","25+","Percent","Modeled","9.44"
"Northern Africa, exc. Sudan (MDG)","2001","Female","15 - 24","Percent","Modeled","45.02"
"Northern Africa, exc. Sudan (MDG)","2001","Female","15+","Percent","Modeled","24.52"
"Northern Africa, exc. Sudan (MDG)","2001","Female","25+","Percent","Modeled","16.58"
"Northern Africa, exc. Sudan (MDG)","2001","Male","15 - 24","Percent","Modeled","26.49"
"Northern Africa, exc. Sudan (MDG)","2001","Male","15+","Percent","Modeled","11.79"
"Northern Africa, exc. Sudan (MDG)","2001","Male","25+","Percent","Modeled","7.6"
"Northern Africa, exc. Sudan (MDG)","2001","Total","15 - 24","Percent","Modeled","31.21"
"Northern Africa, exc. Sudan (MDG)","2001","Total","15+","Percent","Modeled","14.51"
"Northern Africa, exc. Sudan (MDG)","2001","Total","25+","Percent","Modeled","9.4"
"Northern Africa, exc. Sudan (MDG)","2000","Female","15 - 24","Percent","Modeled","42.05"
"Northern Africa, exc. Sudan (MDG)","2000","Female","15+","Percent","Modeled","24.72"
"Northern Africa, exc. Sudan (MDG)","2000","Female","25+","Percent","Modeled","17.04"
"Northern Africa, exc. Sudan (MDG)","2000","Male","15 - 24","Percent","Modeled","27.07"
"Northern Africa, exc. Sudan (MDG)","2000","Male","15+","Percent","Modeled","12.52"
"Northern Africa, exc. Sudan (MDG)","2000","Male","25+","Percent","Modeled","8.16"
"Northern Africa, exc. Sudan (MDG)","2000","Total","15 - 24","Percent","Modeled","31.1"
"Northern Africa, exc. Sudan (MDG)","2000","Total","15+","Percent","Modeled","15.16"
"Northern Africa, exc. Sudan (MDG)","2000","Total","25+","Percent","Modeled","9.93"
"Northern America (M49)","2016","Female","15 - 24","Percent","Modeled","9.98"
"Northern America (M49)","2016","Female","15+","Percent","Modeled","4.95"
"Northern America (M49)","2016","Female","25+","Percent","Modeled","4.11"
"Northern America (M49)","2016","Male","15 - 24","Percent","Modeled","12.34"
"Northern America (M49)","2016","Male","15+","Percent","Modeled","5.3"
"Northern America (M49)","2016","Male","25+","Percent","Modeled","4.21"
"Northern America (M49)","2016","Total","15 - 24","Percent","Modeled","11.21"
"Northern America (M49)","2016","Total","15+","Percent","Modeled","5.14"
"Northern America (M49)","2016","Total","25+","Percent","Modeled","4.16"
"Northern America (M49)","2015","Female","15 - 24","Percent","Modeled","10.45"
"Northern America (M49)","2015","Female","15+","Percent","Modeled","5.28"
"Northern America (M49)","2015","Female","25+","Percent","Modeled","4.4"
"Northern America (M49)","2015","Male","15 - 24","Percent","Modeled","12.98"
"Northern America (M49)","2015","Male","15+","Percent","Modeled","5.64"
"Northern America (M49)","2015","Male","25+","Percent","Modeled","4.48"
"Northern America (M49)","2015","Total","15 - 24","Percent","Modeled","11.78"
"Northern America (M49)","2015","Total","15+","Percent","Modeled","5.47"
"Northern America (M49)","2015","Total","25+","Percent","Modeled","4.44"
"Northern America (M49)","2014","Female","15 - 24","Percent","Modeled","12.13"
"Northern America (M49)","2014","Female","15+","Percent","Modeled","6.14"
"Northern America (M49)","2014","Female","25+","Percent","Modeled","5.11"
"Northern America (M49)","2014","Male","15 - 24","Percent","Modeled","14.51"
"Northern America (M49)","2014","Male","15+","Percent","Modeled","6.39"
"Northern America (M49)","2014","Male","25+","Percent","Modeled","5.1"
"Northern America (M49)","2014","Total","15 - 24","Percent","Modeled","13.38"
"Northern America (M49)","2014","Total","15+","Percent","Modeled","6.28"
"Northern America (M49)","2014","Total","25+","Percent","Modeled","5.11"
"Northern America (M49)","2013","Female","15 - 24","Percent","Modeled","13.71"
"Northern America (M49)","2013","Female","15+","Percent","Modeled","7.01"
"Northern America (M49)","2013","Female","25+","Percent","Modeled","5.87"
"Northern America (M49)","2013","Male","15 - 24","Percent","Modeled","16.9"
"Northern America (M49)","2013","Male","15+","Percent","Modeled","7.67"
"Northern America (M49)","2013","Male","25+","Percent","Modeled","6.2"
"Northern America (M49)","2013","Total","15 - 24","Percent","Modeled","15.39"
"Northern America (M49)","2013","Total","15+","Percent","Modeled","7.37"
"Northern America (M49)","2013","Total","25+","Percent","Modeled","6.05"
"Northern America (M49)","2012","Female","15 - 24","Percent","Modeled","14.44"
"Northern America (M49)","2012","Female","15+","Percent","Modeled","7.8"
"Northern America (M49)","2012","Female","25+","Percent","Modeled","6.67"
"Northern America (M49)","2012","Male","15 - 24","Percent","Modeled","17.41"
"Northern America (M49)","2012","Male","15+","Percent","Modeled","8.2"
"Northern America (M49)","2012","Male","25+","Percent","Modeled","6.74"
"Northern America (M49)","2012","Total","15 - 24","Percent","Modeled","16.01"
"Northern America (M49)","2012","Total","15+","Percent","Modeled","8.01"
"Northern America (M49)","2012","Total","25+","Percent","Modeled","6.71"
"Northern America (M49)","2011","Female","15 - 24","Percent","Modeled","15.19"
"Northern America (M49)","2011","Female","15+","Percent","Modeled","8.28"
"Northern America (M49)","2011","Female","25+","Percent","Modeled","7.11"
"Northern America (M49)","2011","Male","15 - 24","Percent","Modeled","18.27"
"Northern America (M49)","2011","Male","15+","Percent","Modeled","9.15"
"Northern America (M49)","2011","Male","25+","Percent","Modeled","7.7"
"Northern America (M49)","2011","Total","15 - 24","Percent","Modeled","16.81"
"Northern America (M49)","2011","Total","15+","Percent","Modeled","8.75"
"Northern America (M49)","2011","Total","25+","Percent","Modeled","7.43"
"Northern America (M49)","2010","Female","15 - 24","Percent","Modeled","15.35"
"Northern America (M49)","2010","Female","15+","Percent","Modeled","8.43"
"Northern America (M49)","2010","Female","25+","Percent","Modeled","7.25"
"Northern America (M49)","2010","Male","15 - 24","Percent","Modeled","20.34"
"Northern America (M49)","2010","Male","15+","Percent","Modeled","10.31"
"Northern America (M49)","2010","Male","25+","Percent","Modeled","8.71"
"Northern America (M49)","2010","Total","15 - 24","Percent","Modeled","17.97"
"Northern America (M49)","2010","Total","15+","Percent","Modeled","9.44"
"Northern America (M49)","2010","Total","25+","Percent","Modeled","8.04"
"Northern America (M49)","2009","Female","15 - 24","Percent","Modeled","14.54"
"Northern America (M49)","2009","Female","15+","Percent","Modeled","7.94"
"Northern America (M49)","2009","Female","25+","Percent","Modeled","6.78"
"Northern America (M49)","2009","Male","15 - 24","Percent","Modeled","19.83"
"Northern America (M49)","2009","Male","15+","Percent","Modeled","10.27"
"Northern America (M49)","2009","Male","25+","Percent","Modeled","8.68"
"Northern America (M49)","2009","Total","15 - 24","Percent","Modeled","17.32"
"Northern America (M49)","2009","Total","15+","Percent","Modeled","9.19"
"Northern America (M49)","2009","Total","25+","Percent","Modeled","7.81"
"Northern America (M49)","2008","Female","15 - 24","Percent","Modeled","10.97"
"Northern America (M49)","2008","Female","15+","Percent","Modeled","5.41"
"Northern America (M49)","2008","Female","25+","Percent","Modeled","4.4"
"Northern America (M49)","2008","Male","15 - 24","Percent","Modeled","14.11"
"Northern America (M49)","2008","Male","15+","Percent","Modeled","6.19"
"Northern America (M49)","2008","Male","25+","Percent","Modeled","4.81"
"Northern America (M49)","2008","Total","15 - 24","Percent","Modeled","12.63"
"Northern America (M49)","2008","Total","15+","Percent","Modeled","5.83"
"Northern America (M49)","2008","Total","25+","Percent","Modeled","4.62"
"Northern America (M49)","2007","Female","15 - 24","Percent","Modeled","9.36"
"Northern America (M49)","2007","Female","15+","Percent","Modeled","4.57"
"Northern America (M49)","2007","Female","25+","Percent","Modeled","3.67"
"Northern America (M49)","2007","Male","15 - 24","Percent","Modeled","11.53"
"Northern America (M49)","2007","Male","15+","Percent","Modeled","4.89"
"Northern America (M49)","2007","Male","25+","Percent","Modeled","3.72"
"Northern America (M49)","2007","Total","15 - 24","Percent","Modeled","10.51"
"Northern America (M49)","2007","Total","15+","Percent","Modeled","4.75"
"Northern America (M49)","2007","Total","25+","Percent","Modeled","3.7"
"Northern America (M49)","2006","Female","15 - 24","Percent","Modeled","9.65"
"Northern America (M49)","2006","Female","15+","Percent","Modeled","4.74"
"Northern America (M49)","2006","Female","25+","Percent","Modeled","3.8"
"Northern America (M49)","2006","Male","15 - 24","Percent","Modeled","11.21"
"Northern America (M49)","2006","Male","15+","Percent","Modeled","4.8"
"Northern America (M49)","2006","Male","25+","Percent","Modeled","3.64"
"Northern America (M49)","2006","Total","15 - 24","Percent","Modeled","10.48"
"Northern America (M49)","2006","Total","15+","Percent","Modeled","4.78"
"Northern America (M49)","2006","Total","25+","Percent","Modeled","3.71"
"Northern America (M49)","2005","Female","15 - 24","Percent","Modeled","10.11"
"Northern America (M49)","2005","Female","15+","Percent","Modeled","5.27"
"Northern America (M49)","2005","Female","25+","Percent","Modeled","4.33"
"Northern America (M49)","2005","Male","15 - 24","Percent","Modeled","12.52"
"Northern America (M49)","2005","Male","15+","Percent","Modeled","5.28"
"Northern America (M49)","2005","Male","25+","Percent","Modeled","3.98"
"Northern America (M49)","2005","Total","15 - 24","Percent","Modeled","11.38"
"Northern America (M49)","2005","Total","15+","Percent","Modeled","5.28"
"Northern America (M49)","2005","Total","25+","Percent","Modeled","4.14"
"Northern America (M49)","2004","Female","15 - 24","Percent","Modeled","10.97"
"Northern America (M49)","2004","Female","15+","Percent","Modeled","5.55"
"Northern America (M49)","2004","Female","25+","Percent","Modeled","4.5"
"Northern America (M49)","2004","Male","15 - 24","Percent","Modeled","12.72"
"Northern America (M49)","2004","Male","15+","Percent","Modeled","5.78"
"Northern America (M49)","2004","Male","25+","Percent","Modeled","4.52"
"Northern America (M49)","2004","Total","15 - 24","Percent","Modeled","11.9"
"Northern America (M49)","2004","Total","15+","Percent","Modeled","5.68"
"Northern America (M49)","2004","Total","25+","Percent","Modeled","4.51"
"Northern America (M49)","2003","Female","15 - 24","Percent","Modeled","11.41"
"Northern America (M49)","2003","Female","15+","Percent","Modeled","5.84"
"Northern America (M49)","2003","Female","25+","Percent","Modeled","4.75"
"Northern America (M49)","2003","Male","15 - 24","Percent","Modeled","13.57"
"Northern America (M49)","2003","Male","15+","Percent","Modeled","6.44"
"Northern America (M49)","2003","Male","25+","Percent","Modeled","5.14"
"Northern America (M49)","2003","Total","15 - 24","Percent","Modeled","12.55"
"Northern America (M49)","2003","Total","15+","Percent","Modeled","6.17"
"Northern America (M49)","2003","Total","25+","Percent","Modeled","4.96"
"Northern America (M49)","2002","Female","15 - 24","Percent","Modeled","11.11"
"Northern America (M49)","2002","Female","15+","Percent","Modeled","5.8"
"Northern America (M49)","2002","Female","25+","Percent","Modeled","4.74"
"Northern America (M49)","2002","Male","15 - 24","Percent","Modeled","13"
"Northern America (M49)","2002","Male","15+","Percent","Modeled","6.16"
"Northern America (M49)","2002","Male","25+","Percent","Modeled","4.88"
"Northern America (M49)","2002","Total","15 - 24","Percent","Modeled","12.11"
"Northern America (M49)","2002","Total","15+","Percent","Modeled","5.99"
"Northern America (M49)","2002","Total","25+","Percent","Modeled","4.81"
"Northern America (M49)","2001","Female","15 - 24","Percent","Modeled","9.61"
"Northern America (M49)","2001","Female","15+","Percent","Modeled","4.84"
"Northern America (M49)","2001","Female","25+","Percent","Modeled","3.87"
"Northern America (M49)","2001","Male","15 - 24","Percent","Modeled","11.53"
"Northern America (M49)","2001","Male","15+","Percent","Modeled","5.04"
"Northern America (M49)","2001","Male","25+","Percent","Modeled","3.8"
"Northern America (M49)","2001","Total","15 - 24","Percent","Modeled","10.63"
